image,predicted,ground_truth,fire_ratio,confidence,variance,bbox_valid,rejection_dark,rejection_grey,rejection_saturation,rejection_hue,fire_pixels,total_pixels
test_1.jpg,False,False,0.0014583333333333334,0,2.326117621527778e-07,True,18190,0,318,664,28,19200
test_10.jpg,False,True,0.06526041666666667,1,0.00046307809617784294,True,16084,153,831,879,1253,19200
test_100.jpg,False,False,0.028645833333333332,2,0.000493104002210829,True,15216,40,310,3084,550,19200
test_1000.jpg,False,True,0.0008333333333333334,1,0.0004906965043809679,True,17144,68,18,1954,16,19200
test_1001.jpg,False,True,0.00010416666666666667,0,0.0004903845469156902,True,16471,554,30,2143,2,19200
test_1002.jpg,False,False,0.0,0,0.0004903845469156902,False,18161,48,19,972,0,19200
test_1003.jpg,False,False,0.00010416666666666667,0,0.000490072250366211,True,17005,20,159,2014,2,19200
test_1004.jpg,False,False,0.0,0,0.000490072250366211,False,18638,26,0,536,0,19200
test_1005.jpg,False,True,0.0004166666666666667,0,0.0004929493798149958,True,17706,62,15,1409,8,19200
test_1006.jpg,False,True,0.00046875,0,8.810691833496093e-05,True,17895,171,20,1105,9,19200
test_1007.jpg,False,False,0.0,0,8.065965440538197e-08,False,18146,47,21,986,0,19200
test_1008.jpg,False,True,0.0,0,3.318786621093751e-08,False,18027,166,4,1003,0,19200
test_1009.jpg,False,True,0.0016145833333333333,0,2.704196506076389e-07,True,14891,58,81,4139,31,19200
test_101.jpg,False,True,0.00359375,0,1.3905419243706592e-06,True,17329,307,195,1300,69,19200
test_1010.jpg,False,False,0.00036458333333333335,0,1.3543023003472219e-06,True,17974,211,43,965,7,19200
test_1011.jpg,False,False,5.208333333333334e-05,0,1.3440873887803816e-06,True,19106,0,14,79,1,19200
test_1012.jpg,False,True,0.0038020833333333335,0,2.2615220811631947e-06,True,16982,3,673,1469,73,19200
test_1013.jpg,False,True,0.0005729166666666667,0,2.242702907986111e-06,True,17799,0,2,1388,11,19200
test_1014.jpg,False,True,0.0,0,2.242702907986111e-06,False,18714,486,0,0,0,19200
test_1015.jpg,False,True,0.0025520833333333333,0,2.157550387912326e-06,True,17244,520,83,1304,49,19200
test_1016.jpg,False,False,0.0,0,2.424282497829862e-06,False,18724,8,2,466,0,19200
test_1017.jpg,False,False,0.08541666666666667,1,0.0007802347395155164,True,16140,0,58,1362,1640,19200
test_1018.jpg,False,False,5.208333333333334e-05,0,0.0007811228010389539,True,17956,35,182,1026,1,19200
test_1019.jpg,False,False,0.017760416666666667,1,0.0007644924163818359,True,17695,10,636,518,341,19200
test_102.jpg,False,False,0.0,0,0.0007755477905273437,False,15305,23,5,3867,0,19200
test_1020.jpg,False,True,0.0038541666666666668,0,0.0007662899017333984,True,8306,5,151,10664,74,19200
test_1021.jpg,False,True,0.0,0,0.0007662899017333984,False,17201,34,4,1961,0,19200
test_1022.jpg,False,False,0.0,0,0.0007741177029079861,False,19122,0,0,78,0,19200
test_1023.jpg,False,True,0.9592708333333333,1,0.09821099090576171,True,46,46,35,655,18418,19200
test_1024.jpg,False,False,0.0003125,0,0.10002180921766492,True,19077,0,46,71,6,19200
test_1025.jpg,False,True,0.00015625,0,0.10001861758761933,True,19058,6,0,133,3,19200
test_1026.jpg,False,False,5.208333333333334e-05,0,0.10051735619439017,True,19036,2,36,125,1,19200
test_1027.jpg,False,False,0.0,0,0.10051735619439017,False,15800,874,0,2526,0,19200
test_1028.jpg,False,True,0.0007291666666666667,0,0.10060951928032767,True,14960,53,96,4077,14,19200
test_1029.jpg,False,True,0.00010416666666666667,0,0.10060639377170137,True,19195,0,0,3,2,19200
test_103.jpg,False,True,0.0,0,0.10060639377170137,False,18348,183,30,639,0,19200
test_1030.jpg,False,True,0.0003125,0,5.22189670138889e-08,True,18858,3,245,88,6,19200
test_1031.jpg,False,True,0.01609375,1,2.7702797783745654e-05,True,17420,0,465,1006,309,19200
test_1032.jpg,False,True,0.00010416666666666667,0,2.7729458279079854e-05,True,17787,248,5,1158,2,19200
test_1033.jpg,False,False,0.00010416666666666667,0,2.7702119615342872e-05,True,17349,0,3,1846,2,19200
test_1034.jpg,False,False,0.0,0,2.7702119615342872e-05,False,19200,0,0,0,0,19200
test_1035.jpg,False,False,0.00078125,0,2.768351236979166e-05,True,18014,19,15,1137,15,19200
test_1036.jpg,False,True,0.0047395833333333335,1,2.761938307020399e-05,True,17057,360,243,1449,91,19200
test_1037.jpg,False,True,0.017447916666666667,2,4.884711371527776e-05,True,15197,0,1419,2249,335,19200
test_1038.jpg,False,False,0.0,1,4.921993679470484e-05,False,11941,0,44,7215,0,19200
test_1039.jpg,False,False,0.0,0,3.254729376898871e-05,False,18765,10,1,424,0,19200
test_104.jpg,False,True,0.0,0,3.2621214124891495e-05,False,16610,192,3,2395,0,19200
test_1040.jpg,False,True,0.0,0,3.269479539659288e-05,False,18356,311,22,511,0,19200
test_1041.jpg,False,True,0.0,0,3.269479539659288e-05,False,18310,203,18,669,0,19200
test_1042.jpg,False,True,0.00036458333333333335,0,3.293147616916232e-05,True,18010,122,19,1042,7,19200
test_1043.jpg,False,False,0.0,0,3.311275906032986e-05,False,14240,0,0,4960,0,19200
test_1044.jpg,False,True,0.0,0,1.4538235134548612e-08,False,18323,200,30,647,0,19200
test_1045.jpg,False,True,0.0,0,1.4538235134548612e-08,False,18309,193,46,652,0,19200
test_1046.jpg,False,True,0.0121875,1,1.612171596950955e-05,True,18668,107,41,150,234,19200
test_1047.jpg,False,False,5.208333333333334e-05,0,1.6101582845052085e-05,True,17810,0,174,1215,1,19200
