freq_MHz,attenuation_dB,phase_rad
1.000000,0.673101,-0.868799
1.024414,0.690593,-0.889567
1.048828,0.708438,-0.910328
1.073243,0.726615,-0.931083
1.097657,0.745129,-0.951832
1.122071,0.763986,-0.972577
1.146485,0.783189,-0.993318
1.170900,0.802743,-1.014055
1.195314,0.822654,-1.034789
1.219728,0.842927,-1.055520
1.244142,0.863566,-1.076250
1.268557,0.884577,-1.096979
1.292971,0.905965,-1.117706
1.317385,0.927737,-1.138434
1.341799,0.949897,-1.159163
1.366214,0.972453,-1.179893
1.390628,0.995411,-1.200625
1.415042,1.018777,-1.221359
1.439456,1.042558,-1.242097
1.463871,1.067038,-1.262815
1.488285,1.091960,-1.283534
1.512699,1.117312,-1.304258
1.537113,1.143102,-1.324987
1.561528,1.169337,-1.345723
1.585942,1.196027,-1.366464
1.610356,1.223181,-1.387213
1.634770,1.250808,-1.407970
1.659184,1.278918,-1.428736
1.683599,1.307522,-1.449510
1.708013,1.336630,-1.470294
1.732427,1.366252,-1.491089
1.756841,1.396401,-1.511895
1.781256,1.427088,-1.532712
1.805670,1.458325,-1.553542
1.830084,1.490125,-1.574383
1.854498,1.522500,-1.595238
1.878913,1.555465,-1.616107
1.903327,1.589033,-1.636989
1.927741,1.623217,-1.657886
1.952155,1.658034,-1.678797
1.976570,1.693559,-1.699720
2.000984,1.729781,-1.720656
2.025398,1.766679,-1.741608
2.049812,1.804270,-1.762575
2.074227,1.842569,-1.783557
2.098641,1.881593,-1.804556
2.123055,1.921359,-1.825570
2.147469,1.961886,-1.846599
2.171884,2.003190,-1.867645
2.196298,2.045290,-1.888706
2.220712,2.088203,-1.909782
2.245126,2.131950,-1.930873
2.269540,2.176548,-1.951979
2.293955,2.222017,-1.973099
2.318369,2.268375,-1.994232
2.342783,2.315644,-2.015379
2.367197,2.363841,-2.036538
2.391612,2.412986,-2.057708
2.416026,2.463100,-2.078890
2.440440,2.514202,-2.100081
2.464854,2.566313,-2.121282
2.489269,2.619451,-2.142490
2.513683,2.673637,-2.163705
2.538097,2.728891,-2.184926
2.562511,2.785236,-2.206151
2.586926,2.842776,-2.227397
2.611340,2.901449,-2.248644
2.635754,2.961269,-2.269891
2.660168,3.022257,-2.291136
2.684583,3.084430,-2.312378
2.708997,3.147807,-2.333614
2.733411,3.212406,-2.354843
2.757825,3.278245,-2.376063
2.782240,3.345340,-2.397271
